Problem,Category
Sarah has 15 apples. She gives away 3 to each friend. How many friends receive apples?,1
"If a train travels at 60 mph for 2 hours, how far does it travel?",1
Joey has $50. He spends $15 on lunch. How much money does he have left?,1
"Decode this message: ""Rmj rtaj xtr nsyjx yt ijhywj.""",2
"Using a Caesar cipher with a shift of 3, encode: ""Hello, world!""",2
"Decrypt the message: ""Uifsf jt b tfdsfu xjui b tfdsfu.""",2
"In Shakespeare's ""Romeo and Juliet,"" who says the famous line, ""But, soft! what light through yonder window breaks?""",3
"Identify the author of ""Pride and Prejudice.""",3
"In ""To Kill a Mockingbird,"" what is the name of Atticus Finch's daughter?",3
A bakery sells 24 cupcakes per day. How many cupcakes will they sell in a week?,1
"If a rectangle has a length of 8 units and a width of 5 units, what is its area?",1
"Tom saved $20 each week. After 4 weeks, how much money does he have?",1
"Decrypt the message: ""Gur frperg vf abg n fhcrevag.""",2
"Encode the word ""CRYPTO"" using a ROT13 cipher.",2
"What does the following Caesar cipher message mean: ""L fdq grxeob wklv?""",2
"Who wrote the play ""Hamlet""?",3
"In ""The Great Gatsby,"" what is Jay Gatsby's real name?",3
"Name the protagonist in George Orwell's ""1984.""",3
A garden has 30 rows of flowers with 12 flowers in each row. How many flowers are there in total?,1
"If a car travels at a speed of 50 mph for 3 hours, how far does it go?",1
Mary has $75. She wants to buy three books that cost the same. How much does each book cost?,1
"Decrypt the message: ""Wklv lv d whvw phvvdjh.""",2
"Using a Caesar cipher with a shift of 5, encode: ""The quick brown fox jumps over the lazy dog.""",2
"What does the ROT13-encoded message ""Gur zbfg zrffntr"" mean?",2
"Who wrote the novel ""Jane Eyre""?",3
"In ""Macbeth,"" what does Lady Macbeth famously say while sleepwalking?",3
"What is the setting of Mark Twain's ""The Adventures of Huckleberry Finn""?",3
Alex has 18 candies. He wants to share them equally among 6 friends. How many candies does each friend get?,1
The perimeter of a square is 20 cm. What is the length of one side?,1
"If a box contains 24 chocolates and you eat half of them, how many chocolates do you have left?",1
"Decrypt the message: ""Vg vf na rzcgl pyvpx.""",2
"Encode the phrase ""SECRET MESSAGE"" using a Caesar cipher with a shift of 8.",2
"What does the following ROT13-encoded message say: ""Gur pnpur vf fgneevat.""",2
"Who is the author of ""The Catcher in the Rye""?",3
"In ""Frankenstein,"" who is the creator of the monster?",3
"Name the character who says, ""It is a tale told by an idiot"" in Shakespeare's ""Macbeth.""",3
A bus travels 240 miles in 4 hours. What is its average speed?,1
"If a pizza is divided into 8 slices and you eat 3 slices, what fraction of the pizza did you eat?",1
Jenny has $45. She spends one-third of it on a dress. How much money does she spend?,1
"Decrypt the message: ""Guvf vf n tbbq pbqr!""",2
"Using a Caesar cipher with a shift of 6, encode: ""The sun sets in the west.""",2
"What is the meaning of the ROT13-encoded message ""Tragyr vf na nantenz""?",2
"In ""The Lord of the Rings,"" who is the dark lord and main antagonist?",3
"Who wrote the poem ""The Road Not Taken""?",3
"In ""A Tale of Two Cities,"" what is the famous opening line?",3
Emily has 25 marbles. She divides them equally among 5 jars. How many marbles are in each jar?,1
"The area of a triangle is 36 square units, and its base is 12 units. What is the height of the triangle?",1
"If a train travels at 80 km/h for 2.5 hours, how far does it go?",1
"Decrypt the message: ""Jgnpx bhg gur fnzrjnl.""",2
"Encode the word ""PUZZLE"" using a ROT13 cipher.",2
